RouteId,RouteVarId,RouteVarName,RouteVarShortName,RouteNo,StartStop,EndStop,Distance,Outbound,RunningTime,
5,1,Lượt đi: BX Biên Hòa - BX Chợ Lớn,Bến Xe buýt Chợ Lớn,05,Bến xe Biên Hòa,Bến xe Chợ Lớn,35165.99999999998,False,100,
5,2,Lượt về: BX Chợ Lớn - BX Biên Hòa,Bến xe Biên Hòa,05,Bến xe Chợ Lớn,Bến xe Biên Hòa,35566.000000000015,True,100,
